# Aspire.Dashboard.dll

Name: Aspire.Dashboard | Version: 13.4.0-dev | TFM: .NETCoreApp,Version=v8.0 | Arch: AnyCPU | Size: 3.7 MB | Source: File | Modified: 2026-06-27

## Performance Triage

| Member | Root Reach | Shape | Evidence | Fix | Confidence | Loop | IL |
| ------ | ---------- | ----- | -------- | --- | ---------- | ---- | -- |
| `Aspire.Dashboard.Model.TelemetryExportService.ConvertResourceView(Aspire.Dashboard.Otlp.Model.OtlpResourceView)` | 24 | allocation-hotspot | 8 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Shared.ConsoleLogs.SharedAIHelpers.GetSpanDto(Aspire.Shared.ConsoleLogs.OtlpSpanDto, Aspire.Shared.ConsoleLogs.PromptContext, System.Func<Aspire.Dashboard.Otlp.Model.IOtlpResource, string>, string)` | 12 | allocation-hotspot | 10 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Model.Assistant.AIHelpers.GetResponseGraphJson(System.Collections.Generic.List<Aspire.Dashboard.Model.ResourceViewModel>, string, bool, System.Func<Aspire.Dashboard.Model.ResourceViewModel, string>, bool)` | 3 | allocation-hotspot | 14 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Model.GenAI.GenAIVisualizerDialogViewModel.Create(Aspire.Dashboard.Model.SpanDetailsViewModel, System.Nullable<long>, Aspire.Dashboard.Telemetry.ITelemetryErrorRecorder, Aspire.Dashboard.Otlp.Storage.TelemetryRepository, System.Func<System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpSpan>>)` | 3 | allocation-hotspot | 12 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Model.Otlp.ResourcesSelectHelpers.CreateResources(System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpResource>)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_00E7` |
| `Aspire.Dashboard.Otlp.Storage.TelemetryRepository.AddLogsCore(Aspire.Dashboard.Otlp.Model.AddContext, Aspire.Dashboard.Otlp.Model.OtlpResourceView, Google.Protobuf.Collections.RepeatedField<OpenTelemetry.Proto.Logs.V1.ScopeLogs>)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0120` |
| `Aspire.Dashboard.Otlp.Storage.TelemetryRepository.CreateSpan(Aspire.Dashboard.Otlp.Model.OtlpResourceView, OpenTelemetry.Proto.Trace.V1.Span, Aspire.Dashboard.Otlp.Model.OtlpTrace, Aspire.Dashboard.Otlp.Model.OtlpScope, Aspire.Dashboard.Otlp.Model.OtlpContext)` | 3 | allocation-hotspot | 9 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Otlp.Storage.TelemetryRepository.PushLogsToWatchers(System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>, Aspire.Dashboard.Otlp.Storage.ResourceKey)` | 3 | box-value-type | box long | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_00E6` |
| `Aspire.Dashboard.Components.Controls.ResourceDetails.GetRelationships()` | 2 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_007C` |
