package	version	archive_bytes	selection_status	selected_tfm	surface_assemblies	surface_bytes	implementation_assemblies	implementation_bytes
Microsoft.Extensions.AI	10.10.0	1193788	Selected	net10.0	1	530232	1	530232
Microsoft.Extensions.AI.Abstractions	10.10.0	1477894	Selected	net10.0	1	679224	1	679224
Microsoft.Extensions.AI.Evaluation	10.10.0	250191	Selected	net10.0	1	67384	1	67384
Microsoft.Extensions.AI.Evaluation.Quality	10.10.0	441801	Selected	net10.0	1	273720	1	273720
Microsoft.Extensions.AI.Evaluation.Reporting	10.10.0	1936310	Selected	net10.0	1	1225056	1	1225056
Microsoft.Extensions.AI.Evaluation.Reporting.Azure	10.10.0	538044	Selected	net10.0	1	285536	1	285536
Microsoft.Extensions.AI.OpenAI	10.10.0	690228	Selected	net10.0	1	276792	1	276792
Microsoft.Extensions.AmbientMetadata.Application	10.10.0	148421	Selected	net10.0	1	34616	1	34616
Microsoft.Extensions.AmbientMetadata.Build	10.10.0	117284	Selected	net10.0	1	35640	1	35640
Microsoft.Extensions.AsyncState	10.10.0	130020	Selected	net10.0	1	36704	1	36704
Microsoft.Extensions.AuditReports	10.10.0	82837	Selected	netstandard2.0	1	15672	1	15672
Microsoft.Extensions.Caching.Hybrid	10.10.0	354466	Selected	net10.0	1	98616	1	98616
Microsoft.Extensions.Caching.SqlServer	10.0.12	113487	Selected	net10.0	1	48424	1	48424
Microsoft.Extensions.Caching.StackExchangeRedis	10.0.12	113088	Selected	net10.0	1	42280	1	42280
Microsoft.Extensions.Compliance.Abstractions	10.10.0	152131	Selected	net10.0	1	43832	1	43832
Microsoft.Extensions.Compliance.Redaction	10.10.0	161746	Selected	net10.0	1	53560	1	53560
Microsoft.Extensions.Compliance.Testing	10.10.0	135243	Selected	net10.0	1	38752	1	38752
Microsoft.Extensions.DependencyInjection.AutoActivation	10.10.0	141710	Selected	net10.0	1	33632	1	33632
Microsoft.Extensions.DependencyInjection.Specification.Tests	10.0.12	212140	Selected	net10.0	1	78632	1	78632
Microsoft.Extensions.DependencyModel	10.0.12	268942	Selected	net10.0	1	84816	1	84816
Microsoft.Extensions.Diagnostics.ExceptionSummarization	10.10.0	145804	Selected	net10.0	1	30008	1	30008
Microsoft.Extensions.Diagnostics.HealthChecks.Common	10.10.0	148584	Selected	net10.0	1	45408	1	45408
Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore	10.0.12	52606	Selected	net10.0	1	21800	1	21800
Microsoft.Extensions.Diagnostics.HealthChecks.ResourceUtilization	10.10.0	163628	Selected	net10.0	1	58168	1	58168
Microsoft.Extensions.Diagnostics.ResourceMonitoring	10.10.0	374728	Selected	net10.0	1	169784	1	169784
Microsoft.Extensions.Diagnostics.ResourceMonitoring.Kubernetes	10.10.0	106539	Selected	net10.0	1	27960	1	27960
Microsoft.Extensions.Diagnostics.Testing	10.10.0	272812	Selected	net10.0	1	68920	1	68920
Microsoft.Extensions.Hosting.Systemd	10.0.12	114373	Selected	net10.0	1	24400	1	24400
Microsoft.Extensions.Hosting.WindowsServices	10.0.12	168037	Selected	net10.0	1	28968	1	28968
Microsoft.Extensions.Http.Diagnostics	10.10.0	356114	Selected	net10.0	1	118072	1	118072
Microsoft.Extensions.Http.Polly	10.0.12	61308	Selected	netstandard2.0	1	32552	1	32552
Microsoft.Extensions.Http.Resilience	10.10.0	384537	Selected	net10.0	1	135992	1	135992
Microsoft.Extensions.Logging.AzureAppServices	10.0.12	116765	Selected	net10.0	1	43344	1	43344
Microsoft.Extensions.ObjectPool.DependencyInjection	10.10.0	106449	Selected	net10.0	1	26936	1	26936
Microsoft.Extensions.Resilience	10.10.0	142598	Selected	net10.0	1	33120	1	33120
Microsoft.Extensions.ServiceDiscovery	10.10.0	257522	Selected	net10.0	1	77112	1	77112
Microsoft.Extensions.ServiceDiscovery.Abstractions	10.10.0	145952	Selected	net10.0	1	28984	1	28984
Microsoft.Extensions.ServiceDiscovery.Dns	10.10.0	184252	Selected	net10.0	1	100664	1	100664
Microsoft.Extensions.ServiceDiscovery.Yarp	10.10.0	89063	Selected	net10.0	1	32056	1	32056
Microsoft.Extensions.Telemetry	10.10.0	432455	Selected	net10.0	1	150880	1	150880
Microsoft.Extensions.Telemetry.Abstractions	10.10.0	338986	Selected	net10.0	1	58720	1	58720
Microsoft.Extensions.TimeProvider.Testing	10.10.0	123776	Selected	net10.0	1	34616	1	34616
Microsoft.Extensions.VectorData.Abstractions	10.10.0	294190	Selected	net10.0	1	100664	1	100664
Microsoft.Extensions.VectorData.ConformanceTests	10.10.0	252337	Selected	net10.0	1	308536	1	308536
