tfm	pack	assembly	file	kind	forwardsTo	version	publicTypes
net6.0	aspnetcore.app	Microsoft.AspNetCore	Microsoft.AspNetCore.dll	impl		6.0.0.0	7
net6.0	aspnetcore.app	Microsoft.AspNetCore.Antiforgery	Microsoft.AspNetCore.Antiforgery.dll	impl		6.0.0.0	6
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authentication	Microsoft.AspNetCore.Authentication.dll	impl		6.0.0.0	36
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.Abstractions	Microsoft.AspNetCore.Authentication.Abstractions.dll	impl		6.0.0.0	19
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.Cookies	Microsoft.AspNetCore.Authentication.Cookies.dll	impl		6.0.0.0	14
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.Core	Microsoft.AspNetCore.Authentication.Core.dll	impl		6.0.0.0	6
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.OAuth	Microsoft.AspNetCore.Authentication.OAuth.dll	impl		6.0.0.0	19
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authorization	Microsoft.AspNetCore.Authorization.dll	impl		6.0.0.0	32
net6.0	aspnetcore.app	Microsoft.AspNetCore.Authorization.Policy	Microsoft.AspNetCore.Authorization.Policy.dll	impl		6.0.0.0	9
net6.0	aspnetcore.app	Microsoft.AspNetCore.Components	Microsoft.AspNetCore.Components.dll	impl		6.0.0.0	67
net6.0	aspnetcore.app	Microsoft.AspNetCore.Components.Authorization	Microsoft.AspNetCore.Components.Authorization.dll	impl		6.0.0.0	8
net6.0	aspnetcore.app	Microsoft.AspNetCore.Components.Forms	Microsoft.AspNetCore.Components.Forms.dll	impl		6.0.0.0	9
net6.0	aspnetcore.app	Microsoft.AspNetCore.Components.Server	Microsoft.AspNetCore.Components.Server.dll	impl		6.0.0.0	15
net6.0	aspnetcore.app	Microsoft.AspNetCore.Components.Web	Microsoft.AspNetCore.Components.Web.dll	impl		6.0.0.0	59
net6.0	aspnetcore.app	Microsoft.AspNetCore.Connections.Abstractions	Microsoft.AspNetCore.Connections.Abstractions.dll	impl		6.0.0.0	45
net6.0	aspnetcore.app	Microsoft.AspNetCore.CookiePolicy	Microsoft.AspNetCore.CookiePolicy.dll	impl		6.0.0.0	7
net6.0	aspnetcore.app	Microsoft.AspNetCore.Cors	Microsoft.AspNetCore.Cors.dll	impl		6.0.0.0	19
net6.0	aspnetcore.app	Microsoft.AspNetCore.Cryptography.Internal	Microsoft.AspNetCore.Cryptography.Internal.dll	impl		6.0.0.0	0
net6.0	aspnetcore.app	Microsoft.AspNetCore.Cryptography.KeyDerivation	Microsoft.AspNetCore.Cryptography.KeyDerivation.dll	impl		6.0.0.0	2
net6.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection	Microsoft.AspNetCore.DataProtection.dll	impl		6.0.0.0	64
net6.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection.Abstractions	Microsoft.AspNetCore.DataProtection.Abstractions.dll	impl		6.0.0.0	4
net6.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection.Extensions	Microsoft.AspNetCore.DataProtection.Extensions.dll	impl		6.0.0.0	3
net6.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics	Microsoft.AspNetCore.Diagnostics.dll	impl		6.0.0.0	17
net6.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics.Abstractions	Microsoft.AspNetCore.Diagnostics.Abstractions.dll	impl		6.0.0.0	9
net6.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics.HealthChecks	Microsoft.AspNetCore.Diagnostics.HealthChecks.dll	impl		6.0.0.0	4
net6.0	aspnetcore.app	Microsoft.AspNetCore.HostFiltering	Microsoft.AspNetCore.HostFiltering.dll	impl		6.0.0.0	4
net6.0	aspnetcore.app	Microsoft.AspNetCore.Hosting	Microsoft.AspNetCore.Hosting.dll	impl		6.0.0.0	15
net6.0	aspnetcore.app	Microsoft.AspNetCore.Hosting.Abstractions	Microsoft.AspNetCore.Hosting.Abstractions.dll	impl		6.0.0.0	16
net6.0	aspnetcore.app	Microsoft.AspNetCore.Hosting.Server.Abstractions	Microsoft.AspNetCore.Hosting.Server.Abstractions.dll	impl		6.0.0.0	6
net6.0	aspnetcore.app	Microsoft.AspNetCore.Html.Abstractions	Microsoft.AspNetCore.Html.Abstractions.dll	impl		6.0.0.0	7
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http	Microsoft.AspNetCore.Http.dll	impl		6.0.0.0	34
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http.Abstractions	Microsoft.AspNetCore.Http.Abstractions.dll	impl		6.0.0.0	56
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http.Connections	Microsoft.AspNetCore.Http.Connections.dll	impl		6.0.0.0	12
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http.Connections.Common	Microsoft.AspNetCore.Http.Connections.Common.dll	impl		6.0.0.0	5
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http.Extensions	Microsoft.AspNetCore.Http.Extensions.dll	impl		6.0.0.0	19
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http.Features	Microsoft.AspNetCore.Http.Features.dll	impl		6.0.0.0	41
net6.0	aspnetcore.app	Microsoft.AspNetCore.Http.Results	Microsoft.AspNetCore.Http.Results.dll	impl		6.0.0.0	2
net6.0	aspnetcore.app	Microsoft.AspNetCore.HttpLogging	Microsoft.AspNetCore.HttpLogging.dll	impl		6.0.0.0	7
net6.0	aspnetcore.app	Microsoft.AspNetCore.HttpOverrides	Microsoft.AspNetCore.HttpOverrides.dll	impl		6.0.0.0	13
net6.0	aspnetcore.app	Microsoft.AspNetCore.HttpsPolicy	Microsoft.AspNetCore.HttpsPolicy.dll	impl		6.0.0.0	8
net6.0	aspnetcore.app	Microsoft.AspNetCore.Identity	Microsoft.AspNetCore.Identity.dll	impl		6.0.0.0	18
net6.0	aspnetcore.app	Microsoft.AspNetCore.Localization	Microsoft.AspNetCore.Localization.dll	impl		6.0.0.0	15
net6.0	aspnetcore.app	Microsoft.AspNetCore.Localization.Routing	Microsoft.AspNetCore.Localization.Routing.dll	impl		6.0.0.0	1
net6.0	aspnetcore.app	Microsoft.AspNetCore.Metadata	Microsoft.AspNetCore.Metadata.dll	impl		6.0.0.0	2
net6.0	aspnetcore.app	Microsoft.AspNetCore.Mvc	Microsoft.AspNetCore.Mvc.dll	impl		6.0.0.0	1
net6.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Abstractions	Microsoft.AspNetCore.Mvc.Abstractions.dll	impl		6.0.0.0	123
net6.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.ApiExplorer	Microsoft.AspNetCore.Mvc.ApiExplorer.dll	impl		6.0.0.0	8
