Kind	Severity	Code	Count
diagnostic-type	warning	CS0618	3
diagnostic-type	error	CS0029	2
diagnostic-type	error	CS1503	2
diagnostic-type	warning	CS0219	2
diagnostic-type	warning	CS8618	2
diagnostic-type	error	CS0020	1
diagnostic-type	error	CS0103	1
diagnostic-type	error	CS0117	1
diagnostic-type	error	CS0200	1
diagnostic-type	error	CS0246	1
diagnostic-type	error	CS0841	1
diagnostic-type	warning	CS0067	1
diagnostic-type	warning	CS0162	1
diagnostic-type	warning	CS0414	1
diagnostic-type	warning	CS0472	1
diagnostic-type	warning	CS0649	1
diagnostic-type	warning	CS8602	1
