Id	Digest	Severity	Code	Project	File	Line	Column	Message
E1	CS0029:40036e	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	22	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.Signal>' to 'EnterTheRing.Signal'
E2	CS4014:5fc5bd	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	15	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E3	CS4014:cf62fa	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	23	1	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E4	CS4014:2e4722	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	35	1	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E5	CS4014:3e37d9	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	47	1	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E6	CS1503:e8b90c	error	CS1503	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	52	30	Argument 1: cannot convert from 'System.Threading.Tasks.Task<EnterTheRing.Signal>' to 'EnterTheRing.Signal'
E7	CS4014:ce4bf0	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	32	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E8	CS0029:387ad8	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	25	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.Vessel>' to 'EnterTheRing.Vessel'
E9	CS4014:ea4c6c	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	37	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E10	CS0029:97b046	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	43	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.Protomolecule>' to 'EnterTheRing.Protomolecule'
E11	CS4016:1037d9	error	CS4016	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	61	16	Since this is an async method, the return expression must be of type 'string' rather than 'Task<string>'
E12	CS0029:2548a0	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	73	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.Signal>>' to 'System.Collections.Generic.List<EnterTheRing.Signal>'
E13	CS0029:602dec	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	41	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.GateStatus>' to 'EnterTheRing.GateStatus'
E14	CS4014:c4ecd6	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	67	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E15	CS0029:024b2d	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	80	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.Protomolecule>>' to 'System.Collections.Generic.List<EnterTheRing.Protomolecule>'
E16	CS4014:9cf99d	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	87	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E17	CS0029:b1bd3f	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	95	27	Cannot implicitly convert type 'System.Threading.Tasks.Task<double>' to 'double'
E18	CS0019:4f5f18	error	CS0019	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	57	13	Operator '+=' cannot be applied to operands of type 'double' and 'Task<double>'
E19	CS4014:25cc06	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	72	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E20	CS4014:1e54c7	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	93	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E21	CS0029:bd01d2	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	85	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.RingGate>>' to 'System.Collections.Generic.List<EnterTheRing.RingGate>'
E22	CS0029:37d297	error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	72	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.Vessel>>' to 'System.Collections.Generic.List<EnterTheRing.Vessel>'
E23	CS4014:e62a82	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	99	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E24	CS1929:e50c4c	error	CS1929	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	107	16	'Task<List<double>>' does not contain a definition for 'Average' and the best extension method overload 'Enumerable.Average(IEnumerable<decimal>)' requires a receiver of type 'System.Collections.Generic.IEnumerable<decimal>'
E25	CS4014:10571a	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	84	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
E26	CS0019:8770f6	error	CS0019	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	113	13	Operator '+=' cannot be applied to operands of type 'int' and 'Task<int>'
E27	CS4014:d12af8	error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	129	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
