Severity	Code	Project	File	Line	Column	Message
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	22	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.Signal>' to 'EnterTheRing.Signal'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	15	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	23	1	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	35	1	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	47	1	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS1503	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/Program.cs	52	30	Argument 1: cannot convert from 'System.Threading.Tasks.Task<EnterTheRing.Signal>' to 'EnterTheRing.Signal'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	32	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	25	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.Vessel>' to 'EnterTheRing.Vessel'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	37	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	43	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.Protomolecule>' to 'EnterTheRing.Protomolecule'
error	CS4016	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	61	16	Since this is an async method, the return expression must be of type 'string' rather than 'Task<string>'
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	73	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.Signal>>' to 'System.Collections.Generic.List<EnterTheRing.Signal>'
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	41	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<EnterTheRing.GateStatus>' to 'EnterTheRing.GateStatus'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	67	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	80	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.Protomolecule>>' to 'System.Collections.Generic.List<EnterTheRing.Protomolecule>'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	87	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/SignalProcessor.cs	95	27	Cannot implicitly convert type 'System.Threading.Tasks.Task<double>' to 'double'
error	CS0019	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	57	13	Operator '+=' cannot be applied to operands of type 'double' and 'Task<double>'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	72	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	93	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	85	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.RingGate>>' to 'System.Collections.Generic.List<EnterTheRing.RingGate>'
error	CS0029	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	72	16	Cannot implicitly convert type 'System.Threading.Tasks.Task<System.Collections.Generic.List<EnterTheRing.Vessel>>' to 'System.Collections.Generic.List<EnterTheRing.Vessel>'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	99	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS1929	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/ProtomoleculeController.cs	107	16	'Task<List<double>>' does not contain a definition for 'Average' and the best extension method overload 'Enumerable.Average(IEnumerable<decimal>)' requires a receiver of type 'System.Collections.Generic.IEnumerable<decimal>'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/FleetManager.cs	84	9	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
error	CS0019	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	113	13	Operator '+=' cannot be applied to operands of type 'int' and 'Task<int>'
error	CS4014	EnterTheRing.csproj	/home/rich/git/bad-code/EnterTheRing/RingGateController.cs	129	13	Because this call is not awaited, execution of the current method continues before the call is completed. Consider applying the 'await' operator to the result of the call.
