Id	Digest	Severity	Code	Project	File	Line	Column	Message
E1	CS1739:c7fb6f	error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	9	5	The best overload for 'Option' does not have a parameter named 'description'
E2	CS1739:075790	error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	16	5	The best overload for 'Option' does not have a parameter named 'description'
E3	CS1739:fa2a01	error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	20	5	The best overload for 'Option' does not have a parameter named 'description'
E4	CS1739:41a6a6	error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	26	5	The best overload for 'Option' does not have a parameter named 'getDefaultValue'
E5	CS1061:d438f1	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	29	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E6	CS1061:ac3100	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	30	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E7	CS1061:473799	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	31	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E8	CS1061:31ab07	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	32	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E9	CS0103:b6f954	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	34	1	The name 'Handler' does not exist in the current context
E10	CS1729:14def2	error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	59	27	'Argument<string>' does not contain a constructor that takes 2 arguments
E11	CS1061:434237	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	61	15	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E12	CS1061:0def57	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	62	15	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E13	CS1061:7b94a9	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	63	15	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E14	CS1061:12ab0a	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	64	15	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E15	CS0103:c5cb0a	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	66	1	The name 'Handler' does not exist in the current context
E16	CS1729:969717	error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	91	28	'Argument<string>' does not contain a constructor that takes 2 arguments
E17	CS1061:6a992f	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	95	17	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E18	CS1061:88d585	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	96	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E19	CS1061:c11c52	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	97	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E20	CS1061:614dbc	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	98	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E21	CS0103:21e54f	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	100	1	The name 'Handler' does not exist in the current context
E22	CS1729:a7be3e	error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	125	27	'Argument<string>' does not contain a constructor that takes 2 arguments
E23	CS1061:8b2e57	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	129	16	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E24	CS1061:28f992	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	130	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E25	CS1061:243138	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	131	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E26	CS1061:33b3d7	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	132	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E27	CS0103:364676	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	134	1	The name 'Handler' does not exist in the current context
E28	CS1729:7999a9	error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	159	28	'Argument<string>' does not contain a constructor that takes 2 arguments
E29	CS1061:1bcd29	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	163	17	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E30	CS1061:c87c2f	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	164	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E31	CS1061:d510aa	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	165	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E32	CS1061:416652	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	166	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E33	CS0103:3146b4	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	168	1	The name 'Handler' does not exist in the current context
E34	CS1739:959ab9	error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	195	5	The best overload for 'Option' does not have a parameter named 'description'
E35	CS1739:1e4dd8	error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	198	5	The best overload for 'Option' does not have a parameter named 'getDefaultValue'
E36	CS1061:b41070	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	201	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E37	CS1061:0f73c5	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	202	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E38	CS1061:d4f973	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	203	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E39	CS1061:5de140	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	204	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E40	CS1061:66fa57	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	205	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E41	CS0103:f2c917	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	207	1	The name 'Handler' does not exist in the current context
E42	CS1061:39b055	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	232	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
E43	CS0103:6290f4	error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	234	1	The name 'Handler' does not exist in the current context
E44	CS1061:3d4340	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	259	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E45	CS1061:fb9304	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	260	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E46	CS1061:85931d	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	261	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E47	CS1061:89fc9b	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	262	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E48	CS1061:fb3b5e	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	263	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E49	CS1061:2825a4	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	264	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E50	CS1061:fd681b	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	265	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
E51	CS1061:7feaee	error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	267	26	'RootCommand' does not contain a definition for 'InvokeAsync' and no accessible extension method 'InvokeAsync' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
