Severity	Code	Project	File	Line	Column	Message
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	9	5	The best overload for 'Option' does not have a parameter named 'description'
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	16	5	The best overload for 'Option' does not have a parameter named 'description'
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	20	5	The best overload for 'Option' does not have a parameter named 'description'
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	26	5	The best overload for 'Option' does not have a parameter named 'getDefaultValue'
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	29	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	30	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	31	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	32	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	34	1	The name 'Handler' does not exist in the current context
error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	59	27	'Argument<string>' does not contain a constructor that takes 2 arguments
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	61	15	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	62	15	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	63	15	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	64	15	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	66	1	The name 'Handler' does not exist in the current context
error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	91	28	'Argument<string>' does not contain a constructor that takes 2 arguments
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	95	17	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	96	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	97	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	98	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	100	1	The name 'Handler' does not exist in the current context
error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	125	27	'Argument<string>' does not contain a constructor that takes 2 arguments
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	129	16	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	130	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	131	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	132	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	134	1	The name 'Handler' does not exist in the current context
error	CS1729	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	159	28	'Argument<string>' does not contain a constructor that takes 2 arguments
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	163	17	'Command' does not contain a definition for 'AddArgument' and no accessible extension method 'AddArgument' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	164	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	165	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	166	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	168	1	The name 'Handler' does not exist in the current context
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	195	5	The best overload for 'Option' does not have a parameter named 'description'
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	198	5	The best overload for 'Option' does not have a parameter named 'getDefaultValue'
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	201	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
